Conference,Year,Filename,Title,Authors,Category,PDF_URL
IJCAI,2016,preface__f8b85bd6.pdf,Preface,"Subbarao Kambhampati, Gerhard Brewka",Main Track,https://www.ijcai.org/Proceedings/16/Papers/001.pdf
IJCAI,2016,conference_organization__78a1a761.pdf,Conference Organization,"Subbarao Kambhampati, Gerhard Brewka",Main Track,https://www.ijcai.org/Proceedings/16/Papers/002.pdf
IJCAI,2016,program_committee__9e6e6048.pdf,Program Committee,"Subbarao Kambhampati, Gerhard Brewka",Main Track,https://www.ijcai.org/Proceedings/16/Papers/003.pdf
IJCAI,2016,conference_organizers_and_sponsors__3c5b2eb6.pdf,Conference Organizers and Sponsors,"Subbarao Kambhampati, Gerhard Brewka",Main Track,https://www.ijcai.org/Proceedings/16/Papers/004.pdf
IJCAI,2016,awards_and_distinguished_papers__8c1fed38.pdf,Awards and Distinguished Papers,"Subbarao Kambhampati, Gerhard Brewka",Main Track,https://www.ijcai.org/Proceedings/16/Papers/005.pdf
IJCAI,2016,ijcai_organization__371c53e6.pdf,IJCAI Organization,"Subbarao Kambhampati, Gerhard Brewka",Main Track,https://www.ijcai.org/Proceedings/16/Papers/006.pdf
IJCAI,2016,past_ijcai_conferences__7b2d6f0b.pdf,Past IJCAI Conferences,"Subbarao Kambhampati, Gerhard Brewka",Main Track,https://www.ijcai.org/Proceedings/16/Papers/007.pdf
